YearMonth,Revenue,Orders,Customers,Units_Sold,SKUs,AOV,Revenue_Per_Customer,Items_Per_Order,Revenue_Growth,Customer_Growth,Order_Growth
2022-01,82670.48146322479,744,604,3720,386,111.11623852583976,136.87165805169667,5.0,,,
2022-02,72709.32910555991,672,557,3301,380,108.1984064070832,130.5373951625851,4.912202380952381,-12.049225045454715,-7.781456953642385,-9.677419354838712
2022-03,81062.83963042943,744,604,3702,390,108.95542961079224,134.20999938812818,4.975806451612903,11.488911571088533,8.438061041292633,10.71428571428572
2022-04,75840.66873523769,720,586,3716,391,105.33426213227457,129.42093640825544,5.161111111111111,-6.44212677350059,-2.98013245033113,-3.2258064516129004
2022-05,80056.23126881105,744,595,3740,385,107.60246138281056,134.54828784674126,5.026881720430108,5.558445889091557,1.5358361774743923,3.3333333333333437
2022-06,76430.1279872961,720,610,3661,382,106.15295553791125,125.29529178245262,5.084722222222222,-4.529445396123255,2.5210084033613356,-3.2258064516129004
2022-07,80699.41542858793,744,612,3765,392,108.46695622122034,131.86178991599337,5.060483870967742,5.585869805165644,0.3278688524590123,3.3333333333333437
2022-08,82192.5859903845,744,624,3731,394,110.47390590105444,131.71888780510335,5.014784946236559,1.8502867138088464,1.9607843137254832,0.0
2022-09,76398.57774640842,720,608,3548,379,106.10913575890059,125.65555550396122,4.927777777777778,-7.049307640294833,-2.564102564102566,-3.2258064516129004
2022-10,77173.02869841967,744,620,3771,380,103.72718911077912,124.47262693293496,5.068548387096774,1.0136981274466939,1.9736842105263053,3.3333333333333437
2022-11,78702.9804743073,720,595,3465,393,109.30969510320459,132.27391676354168,4.8125,1.9824954413367069,-4.0322580645161255,-3.2258064516129004
2022-12,82235.80662277766,744,622,3726,375,110.5319981488947,132.21190775366182,5.008064516129032,4.488808590449311,4.537815126050426,3.3333333333333437
2023-01,78408.90619040633,744,618,3784,393,105.38831477205152,126.87525273528531,5.086021505376344,-4.653569521030709,-0.6430868167202619,0.0
2023-02,54090.000133496884,496,445,2435,316,109.05241962398566,121.55056209774581,4.909274193548387,-31.01548948770435,-27.993527508090608,-33.333333333333336
